 Constante | Classificacao (Tipo de Constante)                 | Tipo Base em C                    
-----------------------------------------------------------------------------------------------------
 \r        | Sequencia de escape                               | char                              
 2130      | Constante inteira decimal                         | int                               
 -123      | Constante inteira decimal                         | int                               
 33.28     | Constante de ponto flutuante                      | double                            
 0XFA      | Constante inteira hexadecimal                     | int                               
 0101      | Constante inteira octal                           | int                               
 2.0e30    | Constante de ponto flutuante (notacao cientifica) | double                            
 \xDC      | Sequencia de escape (hexadecimal)                 | char                              
 "\""      | Constante string (cadeia de caracteres)           | char * (ou char[])                
 '\\'      | Constante de caractere (barra invertida)          | char                              
 'F'       | Constante de caractere                            | char                              
 0         | Constante inteira decimal                         | int                               
 '\0'      | Sequencia de escape / Caractere nulo              | char                              
 "F"       | Constante string (cadeia de caracteres)           | char * (ou char[])                
 -4567.89  | Constante de ponto flutuante                      | double                            
